Date,Close,RSI_14,MACD,MACD_signal
2010-02-22,1108.010009765625,54.36304098588527,-9.727688691210917,-19.679408012167464
2010-02-23,1094.5999755859375,48.234219160844205,-8.968474648507708,-17.537221339435515
2010-02-24,1105.239990234375,52.782748316538026,-7.422667894964434,-15.5143106505413
2010-02-25,1102.93994140625,51.72469950630215,-6.310456608306822,-13.673539842094405
2010-02-26,1104.489990234375,52.41694326367396,-5.243501344912147,-11.987532142657956
2010-03-01,1115.7099609375,57.20102367783775,-3.4527723349388,-10.280580181114123
2010-03-02,1118.31005859375,58.2486332322098,-1.8030164903307195,-8.585067442957442
2010-03-03,1118.7900390625,58.45081739891825,-0.4516365007193599,-6.958381254509826
2010-03-04,1122.969970703125,60.255829746331344,0.9457256904015594,-5.37755986552755
2010-03-05,1138.699951171875,66.20566901310711,3.2845608839104443,-3.645135715639952
2010-03-08,1138.5,66.0702691178011,5.063600205468447,-1.903388531418272
2010-03-09,1140.449951171875,66.78371120227834,6.555281246548475,-0.2116545758249224
2010-03-10,1145.6099853515625,68.66159503312053,8.060899817323389,1.44285630280474
2010-03-11,1150.239990234375,70.28492923059734,9.517998519353796,3.057884746114551
2010-03-12,1149.989990234375,70.07385738031657,10.531189826991522,4.552545762289945
2010-03-15,1150.510009765625,70.27383039182091,11.246470160801891,5.891330641992335
2010-03-16,1159.4599609375,73.54976936452395,12.392666297460435,7.191597773085956
2010-03-17,1166.2099609375,75.72278800724405,13.687917785754736,8.490861775619711
2010-03-18,1165.8299560546875,75.34749291694759,14.516414513444488,9.695972323184666
2010-03-19,1159.9000244140625,69.5543311091193,14.5270494311751,10.662187744782752
2010-03-22,1165.81005859375,71.87525270935282,14.841286928845877,11.498007581595378
2010-03-23,1174.1700439453125,74.80149289041228,15.585246341916672,12.315455333659637
2010-03-24,1167.719970703125,68.84945533775485,15.47597512381276,12.94755929169026
2010-03-25,1165.72998046875,67.07610629984501,15.05525372199986,13.369098177752182
2010-03-26,1166.5899658203125,67.46609737569665,14.622661669171292,13.619810876036006
2010-03-29,1173.219970703125,70.37915087222919,14.645985531034968,13.8250458070358
2010-03-30,1173.27001953125,70.4006964695244,14.501345893074811,13.960305824243603
